[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
137   22400       2121.79    302.69   74.36   75.45   73.29    0.74
139   22600       4228.02    344.96   74.40   77.51   71.52    0.74
140   22800       1706.47    266.05   74.12   74.59   73.66    0.74
141   23000       2258.32    298.08   74.55   73.07   76.09    0.75
143   23200       2422.28    272.69   75.65   76.56   74.76    0.76
144   23400       1943.17    282.23   75.35   74.69   76.01    0.75
145   23600       2063.79    290.15   75.23   75.94   74.54    0.75
147   23800       2286.06    258.62   74.81   75.22   74.39    0.75
148   24000       1871.07    216.88   74.71   74.74   74.69    0.75
149   24200       3913.26    324.29   75.42   73.60   77.34    0.75
151   24400       2827.36    238.30   75.32   74.43   76.23    0.75
152   24600       3835.65    288.52   75.56   75.48   75.64    0.76
153   24800       2855.57    286.98   75.36   75.00   75.72    0.75
154   25000       2846.60    275.52   75.11   74.09   76.16    0.75
156   25200       2826.87    273.09   74.95   74.71   75.20    0.75
157   25400       1907.59    261.05   74.84   75.83   73.88    0.75
158   25600       2732.14    274.88   75.33   75.39   75.28    0.75
160   25800       2652.15    292.04   75.23   74.39   76.09    0.75
161   26000       2534.32    312.44   73.75   74.53   72.99    0.74
162   26200       4053.58    291.15   75.59   73.19   78.15    0.76
164   26400       2498.06    281.37   74.69   75.45   73.95    0.75
